case,trial,time,Y1,Y2,Y3,Y4,Y5,X1,X2,X3,X4
1,1,23.262,30.537,39.406,25.376,49.977,38.553,21.531,27.018,22.483,47.0
1,1,24.956,28.158,41.0,25.806,49.347,42.258,21.531,27.018,22.483,47.0
1,2,15.918,26.671,21.032,19.803,24.0,33.04,21.531,27.018,22.483,47.0
1,2,16.213,33.383,15.154,20.091,25.375,34.836,21.531,27.018,22.483,47.0
1,2,17.586,39.61,20.107,21.117,31.924,31.639,21.531,27.018,22.483,47.0
1,2,19.472,35.614,23.685,23.125,41.957,32.549,21.531,27.018,22.483,47.0
1,2,23.262,31.829,34.071,25.567,51.691,36.623,21.531,27.018,22.483,47.0
1,2,24.956,27.065,31.395,26.0,50.168,38.548,21.531,27.018,22.483,47.0
2,1,13.0,23.373,15.154,17.665,27.59,39.085,14.072,11.0,39.0,47.0
2,1,16.335,33.353,21.032,17.575,24.206,38.158,14.072,11.0,39.0,47.0
2,1,17.785,39.625,27.739,18.817,31.164,38.543,14.072,11.0,39.0,47.0
2,1,18.582,40.982,29.977,20.396,37.288,39.246,14.072,11.0,39.0,47.0
2,1,21.645,42.637,34.709,22.692,43.314,43.66,14.072,11.0,39.0,47.0
2,1,23.119,37.107,33.422,24.829,47.229,49.278,14.072,11.0,39.0,47.0
2,2,13.0,22.997,18.193,17.752,24.408,40.605,14.072,11.0,39.0,47.0
2,2,16.335,29.615,21.032,17.297,25.187,37.725,14.072,11.0,39.0,47.0
2,2,17.785,39.64,28.5,19.541,36.763,39.147,14.072,11.0,39.0,47.0
2,2,18.582,38.169,32.084,21.672,41.613,39.946,14.072,11.0,39.0,47.0
2,2,21.645,38.858,34.709,23.047,44.052,41.362,14.072,11.0,39.0,47.0
2,2,23.119,37.62,34.071,25.057,47.791,49.67,14.072,11.0,39.0,47.0
3,1,15.831,23.123,2.0,17.484,24.607,37.994,12.0,31.0,30.374,47.0
3,1,16.766,22.479,5.935,17.297,24.206,38.374,12.0,31.0,30.374,47.0
3,1,19.396,41.851,18.193,17.484,25.187,34.5,12.0,31.0,30.374,47.0
3,1,19.792,44.0,23.685,17.752,30.097,36.225,12.0,31.0,30.374,47.0
3,1,21.912,43.771,22.821,22.841,43.226,43.51,12.0,31.0,30.374,47.0
3,1,24.431,39.084,22.821,25.371,47.791,50.777,12.0,31.0,30.374,47.0
3,1,25.0,36.008,23.685,25.616,48.097,52.022,12.0,31.0,30.374,47.0
3,2,15.831,26.384,8.405,18.817,33.816,37.245,12.0,31.0,30.374,47.0
3,2,16.766,22.982,11.897,17.391,24.0,36.663,12.0,31.0,30.374,47.0
3,2,19.396,42.069,21.936,18.394,31.819,38.715,12.0,31.0,30.374,47.0
3,2,19.792,41.81,20.107,18.948,32.232,39.716,12.0,31.0,30.374,47.0
3,2,21.912,38.526,26.169,22.706,39.578,49.367,12.0,31.0,30.374,47.0
3,2,24.431,38.333,28.5,25.033,44.44,57.162,12.0,31.0,30.374,47.0
3,2,25.0,34.609,28.5,25.236,44.899,58.0,12.0,31.0,30.374,47.0
4,1,13.324,20.0,8.405,17.752,26.447,35.869,21.531,17.33,30.374,47.0
4,1,15.918,27.002,14.093,18.086,25.743,37.152,21.531,17.33,30.374,47.0
4,1,16.804,30.097,16.19,18.54,25.922,37.698,21.531,17.33,30.374,47.0
4,1,18.009,31.95,20.107,20.137,30.221,41.674,21.531,17.33,30.374,47.0
4,1,19.547,31.31,23.685,22.828,34.79,46.284,21.531,17.33,30.374,47.0
4,1,19.864,29.515,20.107,23.298,36.883,48.156,21.531,17.33,30.374,47.0
4,1,21.824,25.289,20.107,24.299,34.635,52.056,21.531,17.33,30.374,47.0
4,1,22.05,24.567,17.203,24.354,38.236,52.015,21.531,17.33,30.374,47.0
4,2,13.324,20.582,10.76,17.838,24.803,35.754,21.531,17.33,30.374,47.0
4,2,15.918,29.131,15.154,17.752,24.607,35.094,21.531,17.33,30.374,47.0
4,2,16.804,30.405,14.093,17.752,25.187,36.225,21.531,17.33,30.374,47.0
4,2,18.009,34.675,21.032,20.312,33.104,40.088,21.531,17.33,30.374,47.0
4,2,19.547,31.114,26.169,24.02,39.618,44.218,21.531,17.33,30.374,47.0
4,2,19.864,30.072,24.531,24.341,40.929,44.708,21.531,17.33,30.374,47.0
4,2,21.824,27.351,31.395,25.57,42.809,49.406,21.531,17.33,30.374,47.0
4,2,22.05,27.557,29.977,25.681,43.817,50.626,21.531,17.33,30.374,47.0
5,1,16.295,24.835,10.76,17.391,30.703,27.986,21.531,27.018,22.483,1.0
5,1,19.547,30.668,16.19,19.541,49.41,20.0,21.531,27.018,22.483,1.0
5,1,21.735,33.845,15.154,22.692,51.162,25.344,21.531,27.018,22.483,1.0
6,1,16.046,24.835,5.935,17.484,30.703,28.032,22.067,17.33,30.374,1.0
6,1,20.098,30.668,14.093,19.595,49.41,20.515,22.067,17.33,30.374,1.0
6,1,21.912,33.845,13.008,22.706,51.162,25.891,22.067,17.33,30.374,1.0
7,1,16.213,36.857,21.936,17.0,50.815,24.956,27.0,30.409,20.0,47.0
7,1,19.671,36.657,30.693,23.327,51.845,28.644,27.0,30.409,20.0,47.0
7,1,23.09,36.496,26.962,25.469,52.0,40.524,27.0,30.409,20.0,47.0
